Order,Description,Sector,Subsector,Stage,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
1497,,,,,30032000,"Medicaments containing antibiotics, nesoi, not dosage form and not packaged for retail",Public Health,Pharmaceuticals & API,Final
1498,,,,,30033100,"Medicaments containing insulin, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1499,,,,,30033910,"Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1500,,,,,30033950,"Medicaments containing products of heading 2937, nesoi, but not antibiotics, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1501,,,,,30034100,"Medicaments containing ephedrine or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1502,,,,,30034200,"Medicaments containing pseudoephedrine (INN) or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1503,,,,,30034300,"Medicaments containing norephedrine or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1504,,,,,30034900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1505,,,,,30036000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1506,,,,,30039001,"Other medicaments excl goods of heading 3002, 3005, 3006 consist of two or more consituents mixed together, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
1507,,,,,30041010,"Medicaments containing penicillin G salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1508,,,,,30041050,"Medicaments cont. penicillins or streptomycins, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1509,,,,,30042000,"Medicaments containing antibiotics, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1510,,,,,30043100,"Medicaments containing insulin, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1511,,,,,30043200,"Medicaments, containing adrenal cortical hormones, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1512,,,,,30043900,"Medicaments, containing products of heading 2937 nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1513,,,,,30044100,"Medicaments containing ephedrine or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1514,,,,,30044200,"Medicaments containing pseudoephedrine (INN) or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1515,,,,,30044300,"Medicaments containing norephedrine or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1516,,,,,30044900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1517,,,,,30045010,"Medicaments containing vitamin B2 synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1518,,,,,30045020,"Medicaments containing vitamin B12 synthesized from aromatic or mod. Aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1519,,,,,30045030,"Medicaments containing vitamin E synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1520,,,,,30045040,"Medicaments containing vitamins nesoi, synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1521,,,,,30045050,"Medicaments containing vitamins or other products of heading 2936, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1522,,,,,30046000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final
1523,,,,,30049010,"Medicaments containing antigens or hyaluronic acid or its sodium salt, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final
1524,,,,,30051010,"Adhesive dressings and other articles having an adhesive layer, coated or impregnated with pharmaceutical substances, packed for retail",Public Health,Pharmaceuticals & API,Final
1525,,,,,30059010,"Wadding, gauze, bandages, & similar articles, not having an adhesive layer, coated, impregnated with pharmaceutical substances, for retail",Public Health,Pharmaceuticals & API,Final
1526,,,,,30061001,"Sterile surgical catgut, suture materials, tissue adhesives for wound closure, laminaria, laminaria tents, and absorbable hemostatics",Public Health,Pharmaceuticals & API,Final
1527,,,,,30063010,Opacifying preparation for X-ray examination; diagnostic reagent designed to be administered to the patient; all cont. antigens or antisera,Public Health,Pharmaceuticals & API,Final
1528,,,,,30063050,"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesoi",Public Health,Pharmaceuticals & API,Final
1529,,,,,30064000,Dental cements and other dental fillings; bone reconstruction cements,Public Health,Pharmaceuticals & API,Final
1530,,,,,30065000,First-aid boxes and kits,Public Health,Pharmaceuticals & API,Final
1531,,,,,30066000,Chemical contraceptive preparations based on hormones or spermicides,Public Health,Pharmaceuticals & API,Final
1532,,,,,30069100,Appliances identifiable for ostomy use,Public Health,Pharmaceuticals & API,Final
1533,,,,,38221100,Diagnostic or laboratory reagents for malaria,Public Health,Pharmaceuticals & API,Final
1534,,,,,38221300,Diagnostic or laboratory reagents for blood-grouping,Public Health,Pharmaceuticals & API,Final
1535,,,,,38249100,Mixtures consisting mainly of methylphosphonate etc.,Public Health,Pharmaceuticals & API,Final
1536,,,,,28332951,Other sulfates nesoi,Public Health,Pharmaceuticals & API,Input
1537,,,,,28419040,Aluminates,Public Health,Pharmaceuticals & API,Input
1538,,,,,28421000,Double or complex silicates,Public Health,Pharmaceuticals & API,Input
1539,,,,,28429010,"Fulminates, cyanates and thiocyanates",Public Health,Pharmaceuticals & API,Input
1540,,,,,28429090,"Salts of inorganic acids or peroxoacids nesoi, excluding azides",Public Health,Pharmaceuticals & API,Input
1541,,,,,28432901,"Silver compounds, other than silver nitrate",Public Health,Pharmaceuticals & API,Input
1542,,,,,28433000,Gold compounds,Public Health,Pharmaceuticals & API,Input
1543,,,,,28439000,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals",Public Health,Pharmaceuticals & API,Input
1544,,,,,28444100,"Tritium and its compounds, alloys, dispersions, ceramic products and mixtures thereof",Public Health,Pharmaceuticals & API,Input
1545,,,,,28444200,"Actinium, californium, curium, einsteinium, gadolinium, polonium, radium, uranium & their compounds, alloys, dispersions, ceramic products & mixtures",Public Health,Pharmaceuticals & API,Input
1546,,,,,28444300,"Other radioactive elements, isotopes, compounds, nesoi; alloys, dispersions, ceramic products and mixtures thereof",Public Health,Pharmaceuticals & API,Input
1547,,,,,28452000,Boron enriched in boron-10 and its compounds,Public Health,Pharmaceuticals & API,Input
1548,,,,,28453000,Lithium enriched in lithium-6 and its compounds,Public Health,Pharmaceuticals & API,Input
1549,,,,,28454000,Helium-3,Public Health,Pharmaceuticals & API,Input
1550,,,,,28459001,"Isotopes not in heading 2844 and their compounds other than boron, lithium and helium",Public Health,Pharmaceuticals & API,Input
1551,,,,,28469020,Mixtures of rare-earth oxides or of rare-earth chlorides,Public Health,Pharmaceuticals & API,Input
1552,,,,,28469040,Yttrium materials and compounds containing by wt. >19% But < 85% yttrium oxide equivalent,Public Health,Pharmaceuticals & API,Input
1553,,,,,28469080,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals, nesoi",Public Health,Pharmaceuticals & API,Input
1554,,,,,28521010,"Mercuric oxide, mercuric cyanide, mercuric oxycyanide and mercuric potassium cyanide",Public Health,Pharmaceuticals & API,Input
1555,,,,,28521090,Other chemically defined compounds of mercury excluding amalgams,Public Health,Pharmaceuticals & API,Input
1556,,,,,28529005,"Albuminates, tannates, and phosphides of mercury",Public Health,Pharmaceuticals & API,Input
1557,,,,,28529090,"Inorganic or organic compounds of mercury, not chemically defined, not albuminates, tannates, or phosphides, excluding amalgams",Public Health,Pharmaceuticals & API,Input
1558,,,,,29021900,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes",Public Health,Pharmaceuticals & API,Input
1559,,,,,29029010,Pseudocumene,Public Health,Pharmaceuticals & API,Input
1560,,,,,29029020,"Acenaphthene, chrysene, cymene, dimethylnaphthalenes, fluoranthene, fluorene, indene, mesitylene, and other specified cyclic hydrocarbons",Public Health,Pharmaceuticals & API,Input
1561,,,,,29029030,Alkylbenzenes and polyalkylbenzenes,Public Health,Pharmaceuticals & API,Input
1562,,,,,29029040,"Anthracene and 1,4-di-(2-methylstyryl)benzene",Public Health,Pharmaceuticals & API,Input
1563,,,,,29029060,"Biphenyl (diphenyl), in flakes",Public Health,Pharmaceuticals & API,Input
1564,,,,,29029090,"Cyclic hydrocarbons, nesoi",Public Health,Pharmaceuticals & API,Input
1565,,,,,29034110,Trifluoromethane (HFC-23),Public Health,Pharmaceuticals & API,Input
1566,,,,,29034210,Difluoromethane (HFC-32),Public Health,Pharmaceuticals & API,Input
1567,,,,,29034310,"Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152-a)",Public Health,Pharmaceuticals & API,Input
1568,,,,,29034410,"Pentafluoroethane (HFC-125), 1,1,1-trifluoroethane (HFC-142a) and 1,1,2-trifluoroethane (HFC-143)",Public Health,Pharmaceuticals & API,Input
1569,,,,,29034510,"1,2,1,2-Tetrafluoroethane (HFC-134a) and 1,1,2,2-tetrafluoroethane (HFC-134)",Public Health,Pharmaceuticals & API,Input
1570,,,,,29034610,"HFC-227ea, HFC-236cb, HFC-236ea or HFC-236fa",Public Health,Pharmaceuticals & API,Input
1571,,,,,29034710,"1,1,1,3,3-Pentafluoropropane (HFC-245fa) and 1,1,2,2,3-pentafluoropropane (HFC-245ca)",Public Health,Pharmaceuticals & API,Input
1572,,,,,29034800,"1,1,1,3,3-Pentafluorobutane (HFC-365mfc) and 1,1,1,2,2,3,4,5,5,5-decafluoropentane (HFC-4310mee)",Public Health,Pharmaceuticals & API,Input
1573,,,,,29034900,"Other saturated fluorinated derivatives of acyclic hydrocarbons, nesoi",Public Health,Pharmaceuticals & API,Input
1574,,,,,29035110,"2,3,3,3-Tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)",Public Health,Pharmaceuticals & API,Input
1575,,,,,29035910,"1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-prop-1-ene",Public Health,Pharmaceuticals & API,Input
1576,,,,,29035990,Other unsaturated fluorinated derivatives of acyclic hydrocarbons,Public Health,Pharmaceuticals & API,Input
1577,,,,,29036990,Other brominated or iodinated derivatives of acyclic hydrocarbons,Public Health,Pharmaceuticals & API,Input
1578,,,,,29037101,Chlorodifluoromethane (HCFC-22),Public Health,Pharmaceuticals & API,Input
1579,,,,,29037201,Dichlorotrifluoroethanes (HCFC-123),Public Health,Pharmaceuticals & API,Input
1580,,,,,29037301,"Dichlorofluoroethanes (HCFC-141, 141b)",Public Health,Pharmaceuticals & API,Input
1581,,,,,29037401,"Chlorodifluoroethanes (HCFC-142, 142b)",Public Health,Pharmaceuticals & API,Input
1582,,,,,29037501,"Dichloropentafluoropropanes (HCFC-225, 225ca, 225cb)",Public Health,Pharmaceuticals & API,Input
1583,,,,,29037700,"Other acyclic hydrocarbon derivatives,perhalogenated only with flourine and chlorine",Public Health,Pharmaceuticals & API,Input
1584,,,,,29037800,"Other perhalogenated acyclic hydrocarbon derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1585,,,,,29037910,Bromochloromethane,Public Health,Pharmaceuticals & API,Input
1586,,,,,29037990,"Other halogenated derivatives of acyclic hydrocarbons containing two or more different halogens, nesoi",Public Health,Pharmaceuticals & API,Input
1587,,,,,29038915,"Halogenated products derived in whole or in part from benzene or other aromatic hydrocarbon, described in additional U.S. note 3 to sec. VI",Public Health,Pharmaceuticals & API,Input
1588,,,,,29038970,Other halogenated derivatives of cyclanic etc hydrocarbons not deriv from benzene or other aromatic hydrocarbons,Public Health,Pharmaceuticals & API,Input
1589,,,,,29039300,"Halogenated derivatives of aromatic hydrocarbons, pentachlorobenzene",Public Health,Pharmaceuticals & API,Input
1590,,,,,29039400,"Halogenated derivatives of aromatic hydrocarbons, hexabromobiphenyls",Public Health,Pharmaceuticals & API,Input
1591,,,,,29039905,"3-Bromo-alpha,alpha,alpha-trifluorotoluene; and other specified halogenated derivatives of aromatic hydrocarbons",Public Health,Pharmaceuticals & API,Input
1592,,,,,29039908,"p-Chlorobenzotrifluoride; and 3,4-Dichlorobenzotrifluoride",Public Health,Pharmaceuticals & API,Input
1593,,,,,29039910,"m-Dichlorobenzene; 1,1-dichloro-2,2-bis(p-ethylphenyl)ethane; and trichlorobenzenes",Public Health,Pharmaceuticals & API,Input
1594,,,,,29039915,Triphenylmethyl chloride,Public Health,Pharmaceuticals & API,Input
1595,,,,,29039920,"Benzyl chloride (alpha-Chlorotoluene); benzotrichloride (alpha,alpha,alpha-trichlorotoluene)",Public Health,Pharmaceuticals & API,Input
1596,,,,,29039923,Pentabromoethylbenzene,Public Health,Pharmaceuticals & API,Input
1597,,,,,29039927,Tribromocumene,Public Health,Pharmaceuticals & API,Input
1598,,,,,29039980,"Other halogenated derivatives of aromatic hydrocarbons, nesoi",Public Health,Pharmaceuticals & API,Input
1599,,,,,29041032,"Aromatic derivatives of hydrocarbons containing only sulfo groups, their salts and ethyl esters, described in add. U.S. note 3 to sec. VI",Public Health,Pharmaceuticals & API,Input
1600,,,,,29043100,Perfluorooctane sulfonic acid,Public Health,Pharmaceuticals & API,Input
1601,,,,,29043200,Ammonium perfluorooctane sulfonate,Public Health,Pharmaceuticals & API,Input
1602,,,,,29043300,Lithium perfluorooctane sulfonate,Public Health,Pharmaceuticals & API,Input
1603,,,,,29043400,Potassium perfluorooctane sulfonate,Public Health,Pharmaceuticals & API,Input
1604,,,,,29043500,Other salts of perfluorooctane sulfonic acid,Public Health,Pharmaceuticals & API,Input
1605,,,,,29043600,Perfluorooctane sulfonyl fluoride,Public Health,Pharmaceuticals & API,Input
1606,,,,,29049100,Trichloronitromethane (chloropicrin),Public Health,Pharmaceuticals & API,Input
1607,,,,,29049904,Monochloromononitrobenzenes; o-nitrochlorobenzene; p-nitrochlorobenzene,Public Health,Pharmaceuticals & API,Input
1608,,,,,29049908,Monochloromononitrobenzenes nesoi,Public Health,Pharmaceuticals & API,Input
1609,,,,,29049915,"4-Chloro-3-nitro-a,a,a-trifluorotoluene; 2-Chloro-5-nitro-a,a,a-trifluorotoluene; and 4-Chloro-3,5-dinitro-a,a,a-trifluorotoluene",Public Health,Pharmaceuticals & API,Input
1610,,,,,29049920,Nitrotoluenesulfonic acids,Public Health,Pharmaceuticals & API,Input
1611,,,,,29049930,"1-Bromo-2-nitrobenzene; 1,2-Dichloro-4-nitrobenzene and o-Fluoronitrobenzene",Public Health,Pharmaceuticals & API,Input
1612,,,,,29049935,"4,4'-Dinitrostilbene-2,2'-disulfonic acid",Public Health,Pharmaceuticals & API,Input
1613,,,,,29049940,"Sulfonated, nitrated or nitrosated derivatives of aromatic products described in additional US note 3 to section 6",Public Health,Pharmaceuticals & API,Input
1614,,,,,29049947,"Other sulfonated, nitrated or nitrosated derivatives of aromatic hydrocarbons excluding aromatic products described in add US note 3 to section 6",Public Health,Pharmaceuticals & API,Input
1615,,,,,29049950,"Nonaromatic sulfonated, nitrated or nitrosated derivatives of hydrocarbons, nesoi",Public Health,Pharmaceuticals & API,Input
1616,,,,,29051990,"Saturated monohydric alcohols, nesoi",Public Health,Pharmaceuticals & API,Input
1617,,,,,29052210,Geraniol,Public Health,Pharmaceuticals & API,Input
1618,,,,,29052220,Isophytol,Public Health,Pharmaceuticals & API,Input
1619,,,,,29052250,"Acyclic terpene alcohols, other than geraniol and isophytol",Public Health,Pharmaceuticals & API,Input
1620,,,,,29052910,Allyl alcohol,Public Health,Pharmaceuticals & API,Input
1621,,,,,29052990,"Unsaturated monohydric alcohols, other than allyl alcohol or acyclic terpene alcohols",Public Health,Pharmaceuticals & API,Input
1622,,,,,29053910,Butylene glycol,Public Health,Pharmaceuticals & API,Input
1623,,,,,29053920,Neopentyl glycol,Public Health,Pharmaceuticals & API,Input
1624,,,,,29053960,Hexylene glycol,Public Health,Pharmaceuticals & API,Input
1625,,,,,29053990,"Dihydric alcohols (diols), nesoi",Public Health,Pharmaceuticals & API,Input
1626,,,,,29054950,"Polyhydric alcohols, nesoi",Public Health,Pharmaceuticals & API,Input
1627,,,,,29055100,Ethchlorvynol (INN),Public Health,Pharmaceuticals & API,Input
1628,,,,,29055910,"Halogenated, sulfonated, nitrated or nitrosated derivatives of monohydric alcohols",Public Health,Pharmaceuticals & API,Input
1629,,,,,29055930,Dibromoneopentylglycol,Public Health,Pharmaceuticals & API,Input
1630,,,,,29055990,"Halogenated, sulfonated, nitrated or nitrosated derivatives of acyclic alcohols, nesoi",Public Health,Pharmaceuticals & API,Input
1631,,,,,29061910,"4,4'-Isopropylidenedicyclohexanol;and mixt. w/not less 90% stereoisomers of 2-isopropyl-5-methylcyclohexanol but n/o 30% any 1 stereoisomer",Public Health,Pharmaceuticals & API,Input
1632,,,,,29061930,Terpineols,Public Health,Pharmaceuticals & API,Input
1633,,,,,29061950,"Other cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1634,,,,,29062910,Phenethyl alcohol,Public Health,Pharmaceuticals & API,Input
1635,,,,,29062920,"Odoriferous or flavoring compounds of aromatic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1636,,,,,29062930,"1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethanol (Dicofol); and p-nitrobenzyl alcohol",Public Health,Pharmaceuticals & API,Input
1637,,,,,29062960,"Other aromatic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1638,,,,,29071910,Alkylcresols,Public Health,Pharmaceuticals & API,Input
1639,,,,,29071920,Alkylphenols,Public Health,Pharmaceuticals & API,Input
1640,,,,,29071940,Thymol,Public Health,Pharmaceuticals & API,Input
1641,,,,,29071980,Other monophenols,Public Health,Pharmaceuticals & API,Input
1642,,,,,29072905,Phenol-alcohols,Public Health,Pharmaceuticals & API,Input
1643,,,,,29072910,Pyrogallic acid,Public Health,Pharmaceuticals & API,Input
1644,,,,,29072915,"4,4'-Biphenol",Public Health,Pharmaceuticals & API,Input
1645,,,,,29072925,tert-Butylhydroquinone,Public Health,Pharmaceuticals & API,Input
1646,,,,,29072990,"Other polyphenols, nesoi",Public Health,Pharmaceuticals & API,Input
1647,,,,,29081100,Pentachlorophenol (ISO),Public Health,Pharmaceuticals & API,Input
1648,,,,,29081905,"2,2-Bis(4-hydroxyphenyl)-1,1,1,3,3,3-hexafluoropropane",Public Health,Pharmaceuticals & API,Input
1649,,,,,29081910,6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol,Public Health,Pharmaceuticals & API,Input
1650,,,,,29081915,"3-Hydroxy-alpha,alpha,alpha-trifluorotoluene",Public Health,Pharmaceuticals & API,Input
1651,,,,,29081920,"Pentachlorophenol and its salts; and 2,4,5-trichlorophenol and its salts",Public Health,Pharmaceuticals & API,Input
1652,,,,,29081925,Tetrabromobisphenol A,Public Health,Pharmaceuticals & API,Input
1653,,,,,29081935,Derivatives of phenols or phenol-alcohols containing only halogen substituents and their salts described in add. U.S. note 3 to sec. VI,Public Health,Pharmaceuticals & API,Input
1654,,,,,29081960,"Other halogenated, sulfonated, nitrated or nitrosated derivatives of phenol or phenol-alcohols",Public Health,Pharmaceuticals & API,Input
1655,,,,,29089100,Dinoseb (ISO) and its salts,Public Health,Pharmaceuticals & API,Input
1656,,,,,29089200,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts",Public Health,Pharmaceuticals & API,Input
1657,,,,,29089903,"Specified derivatives of phenols or phenol-alcohols containing only sulfo groups, their salts and esters",Public Health,Pharmaceuticals & API,Input
1658,,,,,29089906,4-Hydroxy-1-naphthalenesulfonic acid,Public Health,Pharmaceuticals & API,Input
1659,,,,,29089909,"1,8-Dihydroxynaphthalene-3,6-disulfonic acid and its sodium salt",Public Health,Pharmaceuticals & API,Input
1660,,,,,29089912,"Derivatives nesoi,of phenols or phenol-alcohols cont. only sulfo groups, their salts and esters, described in add. U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1661,,,,,29089915,"Derivatives of phenol or phenol-alcohols containing only sulfo groups, their salts and esters, nesoi",Public Health,Pharmaceuticals & API,Input
1662,,,,,29089920,p-Nitrophenol,Public Health,Pharmaceuticals & API,Input
1663,,,,,29089925,"Nitrophenols, except p-nitrophenol",Public Health,Pharmaceuticals & API,Input
1664,,,,,29089933,"Dinitro-o-cresols (other than 4,6-dinitro-o-cresol) and 4-nitro-m-cresol",Public Health,Pharmaceuticals & API,Input
1665,,,,,29089940,Dinitrobutylphenol and its salts,Public Health,Pharmaceuticals & API,Input
1666,,,,,29089980,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1667,,,,,29089990,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols, nesoi",Public Health,Pharmaceuticals & API,Input
1668,,,,,29091918,"Ethers of acyc monohydric alcohols & deriv, nesoi",Public Health,Pharmaceuticals & API,Input
1669,,,,,29091960,"Ethers of polyhydric alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1670,,,,,29093005,5-Chloro-2-nitroanisole; 6-chloro-3-nitro-p-dimethoxybenzene; and dimethyl diphenyl ether,Public Health,Pharmaceuticals & API,Input
1671,,,,,29093007,Decabromodiphenyl oxide; and octabromodiphenyl oxide,Public Health,Pharmaceuticals & API,Input
1672,,,,,29093009,Bis-(tribromophenoxy)ethane; pentabromodiphenyl oxide; and tetradecabromodiphenoxy benzene,Public Health,Pharmaceuticals & API,Input
1673,,,,,29093010,"6-tert-Butyl-3-methyl-2,4-dinitroanisole (Musk ambrette) and other artificial musks",Public Health,Pharmaceuticals & API,Input
1674,,,,,29093020,"Odoriferous or flavoring compounds of aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1675,,,,,29093040,"Aromatic ethers and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi, described in add. U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1676,,,,,29093060,"Other aromatic ethers and their halogenated, sulfonated, nitrated, or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1677,,,,,29094905,Guaifenesin,Public Health,Pharmaceuticals & API,Input
1678,,,,,29094910,"Other aromatic ether-alcohols, their halogenated, sulfonated, nitrated or nitrosated derivatives described in add. US note 3 to section VI",Public Health,Pharmaceuticals & API,Input
1679,,,,,29094915,"Aromatic ether-alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1680,,,,,29094920,Nonaromatic glycerol ethers,Public Health,Pharmaceuticals & API,Input
1681,,,,,29094930,Di-pentaerythritol having a purity of 94% or more by weight,Public Health,Pharmaceuticals & API,Input
1682,,,,,29094960,"Other non-aromatic ether-alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1683,,,,,29095010,4-Ethylguaiacol,Public Health,Pharmaceuticals & API,Input
1684,,,,,29095020,Guaiacol and its derivatives,Public Health,Pharmaceuticals & API,Input
1685,,,,,29095040,"Odoriferous or flavoring compounds of ether-phenols, ether-alcohol-phenols & their halogenated, sulfonated, nitrated, nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1686,,,,,29095045,"Ether-phenols, ether-alcohol-phenols & their halogenated, sulfonated, nitrated, nitrosated derivatives nesoi, in add. U.S. note 3 to sec. VI",Public Health,Pharmaceuticals & API,Input
1687,,,,,29095050,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1688,,,,,29102000,Methyloxirane (Propylene oxide),Public Health,Pharmaceuticals & API,Input
1689,,,,,29104000,Dieldrin,Public Health,Pharmaceuticals & API,Input
1690,,,,,29105000,Endrin,Public Health,Pharmaceuticals & API,Input
1691,,,,,29109010,Butylene oxide,Public Health,Pharmaceuticals & API,Input
1692,,,,,29109020,"Aromatic epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Input
1693,,,,,29109091,"Other nonaromatic epoxides, epoxyalcohols and epoxyethers, with a three-membered ring and their halogenated, sulfonated, nitrated or nitrosated deriv",Public Health,Pharmaceuticals & API,Input
1694,,,,,29110010,"1,1-Bis-(1-methylethoxy)cyclohexane",Public Health,Pharmaceuticals & API,Input
1695,,,,,29110050,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",Public Health,Pharmaceuticals & API,Input
1696,,,,,29121950,"Acyclic aldehydes without other oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1697,,,,,29122910,Phenylacetaldehyde,Public Health,Pharmaceuticals & API,Input
1698,,,,,29122930,"3,4-Dimethylbenzaldehyde; paraldehyde, USP grade; and p-tolualdehyde",Public Health,Pharmaceuticals & API,Input
1699,,,,,29122960,Other cyclic aldehydes without other oxygen function,Public Health,Pharmaceuticals & API,Input
1700,,,,,29124910,p-Anisaldehyde,Public Health,Pharmaceuticals & API,Input
1701,,,,,29124915,P-Hydroxybenzaldehyde,Public Health,Pharmaceuticals & API,Input
1702,,,,,29124926,"Other aromatic aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",Public Health,Pharmaceuticals & API,Input
1703,,,,,29124955,Hydroxycitronellal,Public Health,Pharmaceuticals & API,Input
1704,,,,,29124960,"Nonaromatic aldehyde-alcohols, other than hydroxycitronellal",Public Health,Pharmaceuticals & API,Input
1705,,,,,29124990,"Nonaromatic aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1706,,,,,29130020,4-Fluoro-3-phenoxybenzaldehyde,Public Health,Pharmaceuticals & API,Input
1707,,,,,29130040,"Aromatic halogenated, sulfonated, nitrated or nitrosated derivatives of product of heading 2912",Public Health,Pharmaceuticals & API,Input
1708,,,,,29130050,"Nonaromatic halogenated, sulfonated, nitrated or nitrosated derivatives of products of heading 2912",Public Health,Pharmaceuticals & API,Input
1709,,,,,29141900,"Acyclic ketones without other oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1710,,,,,29142910,Isophorone,Public Health,Pharmaceuticals & API,Input
1711,,,,,29142930,Natural camphor,Public Health,Pharmaceuticals & API,Input
1712,,,,,29142931,Synthetic camphor,Public Health,Pharmaceuticals & API,Input
1713,,,,,29142950,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1714,,,,,29143910,"7-Acetyl-1,1,3,4,4,6-hexamethyltetrahydronaphthalene; 1-(2-Naphthalenyl)ethanone; and 6-Acetyl-1,1,2,3,3,5-hexamethylindan",Public Health,Pharmaceuticals & API,Input
1715,,,,,29143990,"Aromatic ketones without other oxygen function, nesoi",Public Health,Pharmaceuticals & API,Input
1716,,,,,29144010,4-Hydroxy-4-methylpentan-2-one (Diacetone alcohol),Public Health,Pharmaceuticals & API,Input
1717,,,,,29144020,"1,2,3-Indantrione monohydrate (Ninhydrin)",Public Health,Pharmaceuticals & API,Input
