Order,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
547,84543000,"Casting machines, of a kind used in metallurgy or in metal foundries",Energy,Hydropower,Capital good
548,84549000,"Parts of converters, ladles, ingot molds and casting machines, of a kind used in metallurgy or in metal foundries",Energy,Hydropower,Capital good
549,25221000,Quicklime (other than calcium oxide and hydroxide of heading 2825),Energy,Hydropower,Input
550,25232100,"Portland cement (white cement), whether or not artificially colored",Energy,Hydropower,Input
551,25232900,"Portland cement (other than white cement), whether or not colored",Energy,Hydropower,Input
552,26030000,Copper ores and concentrates,Energy,Hydropower,Input
553,39011050,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",Energy,Hydropower,Input
554,39012010,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",Energy,Hydropower,Input
555,39012050,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",Energy,Hydropower,Input
556,70198010,Insulation products of glass wool,Energy,Hydropower,Input
557,84101100,"Hydraulic turbines and water wheels of a power not exceeding 1,000 kW",Energy,Hydropower,Input
558,84101200,"Hydraulic turbines and water wheels of a power exceeding 1,000 kW but not exceeding 10,000 kW",Energy,Hydropower,Input
559,84101300,"Hydraulic turbines and water wheels of a power exceeding 10,000 kW",Energy,Hydropower,Input
560,84109000,"Parts, including regulators, of hydraulic turbines and water wheels",Energy,Hydropower,Input
561,84135000,"Reciprocating positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Energy,Hydropower,Input
562,84136000,"Rotary positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Energy,Hydropower,Input
563,84138100,"Pumps for liquids, not fitted with a measuring device, nesoi",Energy,Hydropower,Input
564,84139190,"Parts of pumps, nesoi",Energy,Hydropower,Input
565,84148020,"Gas compressors, nesoi",Energy,Hydropower,Input
566,84149041,"Parts of air or gas compressors, nesoi",Energy,Hydropower,Input
567,84833040,"Bearing housings of the flange, take-up, cartridge and hanger unit type",Energy,Hydropower,Input
568,84833080,Bearing housings nesoi; plain shaft bearings,Energy,Hydropower,Input
569,85014040,"AC motors, nesoi, single-phase, exceeding 74.6 W but not exceeding 735 W",Energy,Hydropower,Input
570,85014050,"AC motors, nesoi, single-phase, exceeding 735 W but under 746 W",Energy,Hydropower,Input
571,85014060,"AC motors nesoi, single-phase, of 746 W or more",Energy,Hydropower,Input
572,85015150,"AC motors, nesoi, multi-phase, of an output exceeding 735 W but under 746 W",Energy,Hydropower,Input
573,85015160,"AC motors nesoi, multi-phase of an output of 746 W but not exceeding 750 W",Energy,Hydropower,Input
574,85015240,"AC motors nesoi, multi-phase, of an output exceeding 750 W but not exceeding 14.92 kW",Energy,Hydropower,Input
575,85015280,"AC motors nesoi, multi-phase, of an output exceeding 14.92 kW but not exceeding 75 kW",Energy,Hydropower,Input
576,85015340,"AC motors nesoi, multi-phase, of an output exceeding 75 kW but under 149.2 kW",Energy,Hydropower,Input
577,85030095,"Other parts, nesoi, suitable for use solely or principally with the machines in heading 8501 or 8502",Energy,Hydropower,Input
578,85076000,Lithium-ion batteries,Energy,Large Capacity Batteries,Final
579,85078041,"Other storage batteries nesoi, of a kind used as the primary source of electrical power for electrically powered vehicles of 8703.90",Energy,Large Capacity Batteries,Final
580,85078082,"Other storage batteries nesoi, other than of a kind used as the primary source of power for electric vehicles",Energy,Large Capacity Batteries,Final
581,25041010,"Natural graphite, crystalline flake (not including flake dust)",Energy,Large Capacity Batteries,Input
582,25041050,Natural graphite in powder or flakes (other than crystalline flake),Energy,Large Capacity Batteries,Input
583,25309010,Natural cryolite; natural chiolite,Energy,Large Capacity Batteries,Input
584,25309020,Natural micaceous iron oxides,Energy,Large Capacity Batteries,Input
585,25309080,"Other mineral substances, not elsewhere specified or included",Energy,Large Capacity Batteries,Input
586,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Energy,Large Capacity Batteries,Input
587,26050000,Cobalt ores and concentrates,Energy,Large Capacity Batteries,Input
588,26080000,Zinc ores and concentrates,Energy,Large Capacity Batteries,Input
589,26159060,"Niobium, tantalum or vanadium ores and concentrates, nesoi",Energy,Large Capacity Batteries,Input
590,26201100,Hard zinc spelter,Energy,Large Capacity Batteries,Input
591,26201930,Zinc dross and skimmings (not from from the mfr. of iron or steel),Energy,Large Capacity Batteries,Input
592,26204000,"Ash and residues (not from the mfr. of iron or steel), containing mainly aluminum",Energy,Large Capacity Batteries,Input
593,26209910,"Ash and residues (other than from the manufacture of iron or steel), containing mainly vanadium",Energy,Large Capacity Batteries,Input
594,27131200,"Coke, petroleum coke, calcined",Energy,Large Capacity Batteries,Input
595,28030000,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),Energy,Large Capacity Batteries,Input
596,28046100,Silicon containing by weight not less than 99.99 percent of silicon,Energy,Large Capacity Batteries,Input
597,28051990,"Alkali metals, other than sodium",Energy,Large Capacity Batteries,Input
598,28170000,Zinc oxide; zinc peroxide,Energy,Large Capacity Batteries,Input
599,28182000,"Aluminum oxide, other than artificial corundum",Energy,Large Capacity Batteries,Input
600,28201000,Manganese dioxide,Energy,Large Capacity Batteries,Input
601,28220000,Cobalt oxides and hydroxides; commercial cobalt oxides,Energy,Large Capacity Batteries,Input
602,28252000,Lithium oxide and hydroxide,Energy,Large Capacity Batteries,Input
603,28253000,Vanadium oxides and hydroxides,Energy,Large Capacity Batteries,Input
604,28254000,Nickel oxides and hydroxides,Energy,Large Capacity Batteries,Input
605,28259090,"Other inorganic bases; other metal oxides, hydroxides and peroxides, nesoi",Energy,Large Capacity Batteries,Input
606,28273910,Vanadium chlorides,Energy,Large Capacity Batteries,Input
607,28273925,Tin chlorides,Energy,Large Capacity Batteries,Input
608,28273930,Titanium chlorides,Energy,Large Capacity Batteries,Input
609,28273940,Tungsten hexachloride,Energy,Large Capacity Batteries,Input
610,28273945,Barium chloride,Energy,Large Capacity Batteries,Input
611,28273955,Iron chlorides,Energy,Large Capacity Batteries,Input
612,28273960,Cobalt chlorides,Energy,Large Capacity Batteries,Input
613,28273965,Zinc chloride,Energy,Large Capacity Batteries,Input
614,28273990,"Chlorides, nesoi",Energy,Large Capacity Batteries,Input
615,28332200,Aluminum sulfate,Energy,Large Capacity Batteries,Input
616,28332400,Nickel sulfate,Energy,Large Capacity Batteries,Input
617,28332910,Cobalt sulfate,Energy,Large Capacity Batteries,Input
618,28369100,Lithium carbonates,Energy,Large Capacity Batteries,Input
619,28429010,"Fulminates, cyanates and thiocyanates",Energy,Large Capacity Batteries,Input
620,28429090,"Salts of inorganic acids or peroxoacids nesoi, excluding azides",Energy,Large Capacity Batteries,Input
621,29209051,"Nonaromatic esters of inorganic acids of nonmetals and their salts and derivatives, excluding esters of hydrogen halides, nesoi",Energy,Large Capacity Batteries,Input
622,30069380,"Placebos and blinded clinical trial kits, put up in measured doses, containing other chemicals other than medicaments",Energy,Large Capacity Batteries,Input
623,38011010,"Artificial graphite plates, rods, powder and other forms, for manufacture into brushes for electric generators, motors or appliances",Energy,Large Capacity Batteries,Input
624,38011050,"Artificial graphite, nesoi",Energy,Large Capacity Batteries,Input
625,38012000,Colloidal or semi-colloidal graphite,Energy,Large Capacity Batteries,Input
626,38019000,"Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures, nesoi",Energy,Large Capacity Batteries,Input
627,38249200,Polyglycol esters mixtures of methylphosphonic acid,Energy,Large Capacity Batteries,Input
628,38249939,"Mixtures of two or more inorganic compounds, nesoi",Energy,Large Capacity Batteries,Input
629,38249993,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi",Energy,Large Capacity Batteries,Input
630,39021000,"Polypropylene, in primary forms",Energy,Large Capacity Batteries,Input
631,39046910,"Fluoropolymers, elastomeric, other than polytetrafluoroethylene, in primary forms",Energy,Large Capacity Batteries,Input
632,39211900,"Nonadhesive plates, sheets, film, foil and strip, cellular, of plastics nesoi",Energy,Large Capacity Batteries,Input
633,68151100,Carbon fibers,Energy,Large Capacity Batteries,Input
634,74102130,"Refined copper, clad laminates, w/thickness of 0.15 mm or less, backed",Energy,Large Capacity Batteries,Input
635,74102160,"Refined copper, foil, w/thickness of 0.15 mm or less, backed",Energy,Large Capacity Batteries,Input
636,75011000,Nickel mattes,Energy,Large Capacity Batteries,Input
637,75012000,Nickel oxide sinters and other intermediate products of nickel metallurgy,Energy,Large Capacity Batteries,Input
638,75021000,"Nickel (o/than alloy), unwrought",Energy,Large Capacity Batteries,Input
639,75040000,"Nickel, powders and flakes",Energy,Large Capacity Batteries,Input
640,76071130,"Aluminum, foil, w/thickness n/o 0.01 mm, rolled but not further worked, not backed",Energy,Large Capacity Batteries,Input
641,76071930,"Aluminum, foil nesoi, w/thickness n/o 0.15 mm, cut to shape, not rolled, not backed",Energy,Large Capacity Batteries,Input
642,76071960,"Aluminum, foil nesoi, w/thickness o/0.15mm but n/o 0.2 mm or 0.15mm or less & not cut to shape, not rolled, not backed, nesoi",Energy,Large Capacity Batteries,Input
643,81052030,"Cobalt alloys, unwrought",Energy,Large Capacity Batteries,Input
644,81052060,"Cobalt (other than alloys), unwrought",Energy,Large Capacity Batteries,Input
645,81052090,"Cobalt, mattes and other intermediate products of cobalt metallurgy; cobalt powders",Energy,Large Capacity Batteries,Input
646,81053000,Cobalt waste and scrap,Energy,Large Capacity Batteries,Input
647,81110049,"Unwrought manganese, nesoi",Energy,Large Capacity Batteries,Input
648,85079080,"Parts of storage batteries, including separators therefor, other than parts of lead-acid storage batteries",Energy,Large Capacity Batteries,Input
649,84169000,"Parts for furnace burners, mechanical stokers, mechanical grates, mechanical ash dischargers and similar appliances",Energy,Neodymium Magnets,Capital good
650,84171000,"Furnaces and ovens for the roasting, melting or other heat treatment of ores, pyrites or of metals",Energy,Neodymium Magnets,Capital good
651,84543000,"Casting machines, of a kind used in metallurgy or in metal foundries",Energy,Neodymium Magnets,Capital good
652,84549000,"Parts of converters, ladles, ingot molds and casting machines, of a kind used in metallurgy or in metal foundries",Energy,Neodymium Magnets,Capital good
653,84561110,"Machine tools operated by laser, for working metal",Energy,Neodymium Magnets,Capital good
654,84561210,"Machine tools operated by light or photon beam processes, for working metal",Energy,Neodymium Magnets,Capital good
655,84562010,"Machine tools operated by ultrasonic processes, for working metal",Energy,Neodymium Magnets,Capital good
656,84563010,"Machine tools operated by electro-discharge processes, for working metal",Energy,Neodymium Magnets,Capital good
657,84564010,"Machine tools operated by plasma arc process, for working metal",Energy,Neodymium Magnets,Capital good
658,84569031,"Machine tools operated by electro-chemical or ionic-beam processes, for working metal",Energy,Neodymium Magnets,Capital good
659,84581100,"Horizontal lathes (including turning centers) for removing metal, numerically controlled",Energy,Neodymium Magnets,Capital good
660,84581900,"Horizontal lathes (including turning centers) for removing metal, other than numerically controlled",Energy,Neodymium Magnets,Capital good
661,84589110,"Vertical turret lathes (including turning centers) for removing metal, numerically controlled",Energy,Neodymium Magnets,Capital good
662,84589150,"Lathes (including turning centers), other than horizontal or vertical turret lathes, for removing metal, numerically controlled",Energy,Neodymium Magnets,Capital good
663,84589910,"Vertical turret lathes (including turning centers) for removing metal, other than numerically controlled",Energy,Neodymium Magnets,Capital good
664,84589950,"Lathes (including turning centers), other than horizontal or vertical turret lathes, for removing metal, other than numerically controlled",Energy,Neodymium Magnets,Capital good
665,84591000,"Way-type unit head machines for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading 8458",Energy,Neodymium Magnets,Capital good
666,85051100,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal",Energy,Neodymium Magnets,Final
667,26011200,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated",Energy,Neodymium Magnets,Input
668,26040000,Nickel ores and concentrates,Energy,Neodymium Magnets,Input
669,26050000,Cobalt ores and concentrates,Energy,Neodymium Magnets,Input
670,28045000,Boron; tellurium,Energy,Neodymium Magnets,Input
671,28100000,Oxides of boron; boric acids,Energy,Neodymium Magnets,Input
672,28469020,Mixtures of rare-earth oxides or of rare-earth chlorides,Energy,Neodymium Magnets,Input
673,26159030,Synthetic tantalum-niobium concentrates,Energy,Nuclear Power,Input
674,26159060,"Niobium, tantalum or vanadium ores and concentrates, nesoi",Energy,Nuclear Power,Input
675,28053000,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",Energy,Nuclear Power,Input
676,28191000,Chromium trioxide,Energy,Nuclear Power,Input
677,28199000,"Chromium oxides and hydroxides, other than chromium trioxide",Energy,Nuclear Power,Input
678,28259015,Niobium oxide,Energy,Nuclear Power,Input
679,28332940,Chromium sulfate,Energy,Nuclear Power,Input
680,28441010,Natural uranium metal,Energy,Nuclear Power,Input
681,28441020,Natural uranium compounds,Energy,Nuclear Power,Input
682,28441050,"Alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",Energy,Nuclear Power,Input
683,28442000,"Uranium enriched in U235 and plutonium and their compounds; alloys, dispersions, ceramic products and mixtures containing these products",Energy,Nuclear Power,Input
684,28445000,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,Energy,Nuclear Power,Input
685,28469020,Mixtures of rare-earth oxides or of rare-earth chlorides,Energy,Nuclear Power,Input
686,28469040,Yttrium materials and compounds containing by wt. >19% But < 85% yttrium oxide equivalent,Energy,Nuclear Power,Input
687,28469080,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals, nesoi",Energy,Nuclear Power,Input
688,28499020,Chromium carbide,Energy,Nuclear Power,Input
689,69021050,"Refractory bricks, blocks, tiles and similar goods containing by weight o/50% MgO, CaO, or Cr2O3",Energy,Nuclear Power,Input
690,72029340,Ferroniobium containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon,Energy,Nuclear Power,Input
691,72029380,"Ferroniobium, nesoi",Energy,Nuclear Power,Input
692,81092100,"Zirconium, unwrought; zirconium powders, containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
693,81092900,"Zirconium, unwrought; zirconium powders, not containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
694,81093100,"Zirconium waste and scrap, containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
695,81093900,"Zirconium waste and scrap, not containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
696,81099100,"Zirconium, articles, nesoi, containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
697,81099900,"Zirconium, articles, nesoi, not containing less than 1 part hafnium to 500 parts zirconium by weight",Energy,Nuclear Power,Input
698,81122100,"Chromium, unwrought; chromium powders",Energy,Nuclear Power,Input
699,81122900,"Articles of chromium, nesoi",Energy,Nuclear Power,Input
700,81123100,"Hafnium, unwrought; hafnium powders; hafnium waste and scrap",Energy,Nuclear Power,Input
701,81123900,"Hafnium, articles, nesoi",Energy,Nuclear Power,Input
702,81124900,"Rhenium, articles, nesoi",Energy,Nuclear Power,Input
703,81129230,"Indium, unwrought; indium powders",Energy,Nuclear Power,Input
704,81129240,"Niobium (columbium), unwrought; niobium powders",Energy,Nuclear Power,Input
705,81129991,"Articles of gallium, indium, or niobium, nesoi",Energy,Nuclear Power,Input
706,84011000,Nuclear reactors,Energy,Nuclear Power,Input
707,84012000,"Machinery and apparatus for isotopic separation, and parts thereof",Energy,Nuclear Power,Input
708,84013000,"Fuel elements (cartridges), non-irradiated and parts thereof",Energy,Nuclear Power,Input
709,84014000,Parts of nuclear reactors,Energy,Nuclear Power,Input
710,84021100,Watertube boilers with a steam production exceeding 45 tons per hour,Energy,Nuclear Power,Input
711,84021200,Watertube boilers with a steam production not exceeding 45 tons per hour,Energy,Nuclear Power,Input
712,84021900,"Vapor-generating boilers, including hybrid boilers, other than watertube boilers",Energy,Nuclear Power,Input
713,84022000,Super-heated water boilers,Energy,Nuclear Power,Input
714,84029000,Parts of steam- or other vapor-generating boilers,Energy,Nuclear Power,Input
715,84041000,Auxiliary plant for use with boilers of heading 8402 or 8403,Energy,Nuclear Power,Input
716,84042000,Condensers for steam or other vapor power units,Energy,Nuclear Power,Input
717,84049000,Parts for auxiliary plant for use with boilers of heading 8402 and 8403 and condensers for steam or vapor power units,Energy,Nuclear Power,Input
718,84068110,"Steam turbines other than for marine propulsion, of an output exceeding 40 MW",Energy,Nuclear Power,Input
719,84068190,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output exceeding 40 MW",Energy,Nuclear Power,Input
720,84068210,"Steam turbines other than for marine propulsion, of an output not exceeding 40 MW",Energy,Nuclear Power,Input
721,84068290,"Vapor turbines (excluding steam turbines) other than for marine propulsion, of an output not exceeding 40 MW",Energy,Nuclear Power,Input
722,84069020,"Parts of steam turbines, rotors, finished for final assembly",Energy,Nuclear Power,Input
723,84069040,"Parts of steam turbines, blades, rotating or stationary",Energy,Nuclear Power,Input
724,84069045,"Parts of steam turbines, other",Energy,Nuclear Power,Input
725,84069050,"Parts of vapor turbines other than steam turbines, rotors, finished for final assembly",Energy,Nuclear Power,Input
726,84069070,"Parts of vapor turbines other than steam turbines, blades, rotating or stationary",Energy,Nuclear Power,Input
727,84069075,"Parts of vapor turbines other than steam turbines, other",Energy,Nuclear Power,Input
728,85013261,"DC generators, other than photovoltaic generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Platinum Group Metals,Capital good
729,85017220,"Photovoltaic DC generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Platinum Group Metals,Capital good
730,85433020,"Electrical machines and apparatus for electroplating, electrolysis, or electrophoresis for making printed circuits",Energy,Platinum Group Metals,Capital good
731,85433090,"Other electrical machines and apparatus for electroplating, electrolysis, or electrophoresis",Energy,Platinum Group Metals,Capital good
732,26011100,"Iron ores and concentrates (other than roasted iron pyrites), not agglomerated",Energy,Platinum Group Metals,Input
733,26011200,"Iron ores and concentrates (other than roasted iron pyrites), agglomerated",Energy,Platinum Group Metals,Input
734,26030000,Copper ores and concentrates,Energy,Platinum Group Metals,Input
735,26040000,Nickel ores and concentrates,Energy,Platinum Group Metals,Input
736,26050000,Cobalt ores and concentrates,Energy,Platinum Group Metals,Input
737,26100000,Chromium ores and concentrates,Energy,Platinum Group Metals,Input
738,71101100,"Platinum, unwrought or in powder form",Energy,Platinum Group Metals,Input
739,71101900,"Platinum, in semimanufactured forms",Energy,Platinum Group Metals,Input
740,71102100,"Palladium, unwrought or in powder form",Energy,Platinum Group Metals,Input
741,71102900,"Palladium, in semimanufactured forms",Energy,Platinum Group Metals,Input
742,71103100,"Rhodium, unwrought or in powder form",Energy,Platinum Group Metals,Input
743,71103900,"Rhodium, in semimanufactured forms",Energy,Platinum Group Metals,Input
744,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Energy,Platinum Group Metals,Input
745,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Energy,Platinum Group Metals,Input
746,71151000,Platinum catalysts in the form of wire cloth or grill,Energy,Platinum Group Metals,Input
747,85414200,"Photovoltaic cells, not assembled in modules or made up into panels",Energy,Solar,Final
748,85414300,Photovoltaic cells assembled in modules or made up into panels,Energy,Solar,Final
749,85414910,"Other photosensitive semiconductor diodes, other than light-emitting",Energy,Solar,Final
750,25051010,"Natural silica and quartz sands, containing by weight 95% or more of silica and not more than 0.6% of oxide of iron",Energy,Solar,Input
751,25061000,Quartz (other than natural sands),Energy,Solar,Input
752,25191000,Natural magnesium carbonate (magnesite),Energy,Solar,Input
753,25292100,"Fluorspar, containing by weight 97 percent or less of calcium fluoride",Energy,Solar,Input
754,25292200,"Fluorspar, containing by weight more than 97 percent of calcium fluoride",Energy,Solar,Input
755,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Energy,Solar,Input
756,26080000,Zinc ores and concentrates,Energy,Solar,Input
757,26090000,Tin ores and concentrates,Energy,Solar,Input
758,26100000,Chromium ores and concentrates,Energy,Solar,Input
759,28046100,Silicon containing by weight not less than 99.99 percent of silicon,Energy,Solar,Input
760,28046910,"Silicon, containing by weight less than 99.99 percent but not less than 99 percent of silicon",Energy,Solar,Input
761,28061000,Hydrogen chloride (Hydrochloric acid),Energy,Solar,Input
762,38180000,"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",Energy,Solar,Input
763,39011010,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms",Energy,Solar,Input
764,39011050,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",Energy,Solar,Input
765,39012010,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",Energy,Solar,Input
766,39012050,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",Energy,Solar,Input
767,39013020,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers",Energy,Solar,Input
768,39013060,"Ethylene-vinyl acetate copolymers, nesoi",Energy,Solar,Input
769,39079950,"Other polyesters nesoi, saturated, in primary forms",Energy,Solar,Input
770,39191010,"Self-adhesive plates, sheets, other flat shapes, of plastics, in rolls n/o 20 cm wide, light-reflecting surface produced by glass grains",Energy,Solar,Input
771,39191020,"Self-adhesive plates, sheets, other flat shapes, of plastics, in rolls n/o 20 cm wide, not having a light-reflecting glass grain surface",Energy,Solar,Input
772,39199010,"Self-adhesive plates, sheets, other flat shapes, of plastics, light-reflecting surface produced by glass grains, nesoi",Energy,Solar,Input
773,39199050,"Self-adhesive plates, sheets, other flat shapes, of plastics, not having a light-reflecting surface produced by glass grains, nesoi",Energy,Solar,Input
774,39201000,"Nonadhesive plates, sheets, film, foil and strip, noncellular, not reinforced or combined with other materials, of polymers of ethylene",Energy,Solar,Input
775,39209920,"Nonadhesive film, strips and sheets, noncellular, not combined with other materials, of plastics nesoi, flexible",Energy,Solar,Input
776,39211100,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of styrene",Energy,Solar,Input
777,39211211,"Nonadhesive plates, sheets, film, foil, strip, cellular, of polymers of vinyl chloride, with man-made textile fibers, over 70% plastics",Energy,Solar,Input
778,39211215,"Nonadhesive plates, sheets, film, foil, strip, cellular, of polymers of vinyl chloride, with man-made textile fibers, n/o 70% plastics",Energy,Solar,Input
779,39211219,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of vinyl chloride, combined with textile materials, nesoi",Energy,Solar,Input
780,39211250,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polymers of vinyl chloride, not combined with textile materials",Energy,Solar,Input
781,39211311,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, with man-made textile fibers, over 70% plastics",Energy,Solar,Input
782,39211315,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, with man-made textile fibers, not over 70 percent plastics",Energy,Solar,Input
783,39211319,"Nonadhesive plates, sheets, film, foil and strip, cellular, of polyurethanes, combined with textile materials nesoi",Energy,Solar,Input
784,39211350,"Nonadhesive plates, sheets, film, foil and strip, cellular,of polyurethanes, not combined with textile materials, nesoi",Energy,Solar,Input
785,39211400,"Nonadhesive plates, sheets, film, foil and strip, cellular, of regenerated cellulose",Energy,Solar,Input
786,39211900,"Nonadhesive plates, sheets, film, foil and strip, cellular, of plastics nesoi",Energy,Solar,Input
787,39219011,"Nonadhesive plates, sheets, film, foil, strip, of noncellular plastics combined with man-made fibers, n/o 1.492 kg/sq m, over 70% plastics",Energy,Solar,Input
788,39219015,"Nonadhesive plates, sheets, film, foil, strip, of noncellular plastics combined with man-made fibers, n/o 1.492 kg/sq m, n/o 70% plastics",Energy,Solar,Input
789,39219019,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with textile materials, nesoi, not over 1.492 kg/sq m",Energy,Solar,Input
790,39219021,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with cotton, over 1.492 kg/sq m",Energy,Solar,Input
791,39219025,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with man-made fibers, over 1.492 kg/sq m",Energy,Solar,Input
792,39219029,"Nonadhesive plates, sheets, film, foil and strip, of noncellular plastics combined with textile materials, nesoi, over 1.492 kg/sq m",Energy,Solar,Input
793,39219040,"Nonadhesive plates, sheets, film, foil and strip, flexible, nesoi, of noncellular plastics",Energy,Solar,Input
794,39219050,"Nonadhesive plates, sheets, film, foil and strip, nonflexible, nesoi, of noncellular plastics",Energy,Solar,Input
795,44012100,Coniferous wood in chips or particles,Energy,Solar,Input
796,44012200,Nonconiferous wood in chips or particles,Energy,Solar,Input
797,44029001,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated, other than of bamboo or shell or nut",Energy,Solar,Input
798,70071900,"Toughened (tempered) safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",Energy,Solar,Input
799,70072900,"Laminated safety glass, not of size or shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",Energy,Solar,Input
800,72022110,Ferrosilicon containing by weight more than 55% but not more than 80% of silicon and more than 3% of calcium,Energy,Solar,Input
801,72022150,"Ferrosilicon containing by weight more than 55% but not more than 80% of silicon, nesoi",Energy,Solar,Input
802,72022175,Ferrosilicon containing by weight more than 80% but not more than 90% of silicon,Energy,Solar,Input
803,72022190,Ferrosilicon containing by weight more than 90% of silicon,Energy,Solar,Input
804,76071130,"Aluminum, foil, w/thickness n/o 0.01 mm, rolled but not further worked, not backed",Energy,Solar,Input
805,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Energy,Solar,Input
806,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Energy,Solar,Input
807,79012000,"Zinc alloy, unwrought",Energy,Solar,Input
808,79020000,"Zinc, waste and scrap",Energy,Solar,Input
809,79031000,"Zinc, dust",Energy,Solar,Input
810,79039030,"Zinc, powders",Energy,Solar,Input
811,79039060,"Zinc, flakes",Energy,Solar,Input
812,79040000,"Zinc, bars, rods, profiles and wire",Energy,Solar,Input
813,81041100,"Magnesium, unwrought, containing at least 99.8 percent by weight of magnesium",Energy,Solar,Input
814,81041900,"Magnesium, unwrought, nesoi",Energy,Solar,Input
815,81042000,"Magnesium, waste and scrap",Energy,Solar,Input
816,81110030,"Manganese, waste and scrap",Energy,Solar,Input
817,81122100,"Chromium, unwrought; chromium powders",Energy,Solar,Input
818,81122200,Chromium waste and scrap,Energy,Solar,Input
819,81129260,"Germanium, unwrought",Energy,Solar,Input
820,85013120,"DC motors nesoi, of an output exceeding 37.5 W but not exceeding 74.6 W",Energy,Solar,Input
821,85013140,"DC motors, nesoi, of an output exceeding 74.6 W but not exceeding 735 W",Energy,Solar,Input
822,85013150,"DC motors, nesoi, of an output exceeding 735 W but under 746 W",Energy,Solar,Input
823,85013160,"DC motors nesoi, of an output of 746 W but not exceeding 750 W",Energy,Solar,Input
824,85013181,"DC generators, other than photovoltaic generators, of an output not exceeding 750 W",Energy,Solar,Input
825,85013220,"DC motors nesoi, of an output exceeding 750 W but not exceeding 14.92 kW",Energy,Solar,Input
826,85013245,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW, used as primary source of mechanical power for electric vehicles",Energy,Solar,Input
827,85013255,"DC motors nesoi, of an output exceeding 14.92 kW but not exceeding 75 kW, nesoi",Energy,Solar,Input
828,85013261,"DC generators, other than photovoltaic generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Solar,Input
829,85017100,"Photovoltaic DC generators, of an output not exceeding 50 W",Energy,Solar,Input
830,85017210,"Photovoltaic DC generators, of an output exceeding 50 W but not exceeding 750 W",Energy,Solar,Input
831,85017220,"Photovoltaic DC generators, of an output exceeding 750 W but not exceeding 75 kW",Energy,Solar,Input
